site_id,gateway_hub_id,description,last_data,site_status,start_reading,end_reading,longitude,latitude,location
1016,arc1049,"Lonsdale Street between Elizabeth Street and Queen Street, approximately 16m South of Who Salon, 402 Lonsdale StreetMELBOURNE VIC 3000",2021/10/06 07:00:01 PM,C,2021/09/17,,144.960556,-37.812778,POINT (144.960556 -37.812778)
1013,arc1047,"William Street between Little Lonsdale Street and La Trobe Street, approximately 24m West of The Mint Bar & Restaurant, Northern GuardhouseRoyal Mint318 William StreetMELBOURNE VIC 3000",2021/10/06 07:00:01 PM,C,2021/09/17,,144.956389,-37.811944,POINT (144.956389 -37.811944)
1008,arc1045,"Flinders Street between Swanston Street and Elizabeth Street, approximately 16m East of Dangerfield, 222-224 Flinders StreetMELBOURNE VIC 3000",,R,2021/06/14,2021/06/20,144.96705703,-37.81746522,POINT (144.96705703 -37.81746522)
1004,arc1048,"Grattan Street between Cardigan Street and Swanston Street, approximately 47m East of Colourful Yunnan Restaurant, 680-682 Swanston StreetCARLTON VIC 3053",,R,2019/11/15,2021/06/13,144.964635,-37.800575,POINT (144.964635 -37.800575)
1012,arc1048,"Little Collins Street between Exhibition Street and Russell Street, approximately 8m NW of Stamford Plaza Melbourne, 111 Little Collins StreetMELBOURNE VIC 3000",2021/10/06 07:00:01 PM,C,2021/09/17,,144.97,-37.813333,POINT (144.97 -37.813333)
1007,arc1113,"Siddeley Street between Spencer Street and Wurundjeri Way, approximately 24m South of Care Park, Melbourne Convention Centre Carpark671-701 Flinders StreetDOCKLANDS VIC 3008",2021/10/06 07:00:01 PM,C,2021/05/20,,144.951835,-37.82246,POINT (144.951835 -37.82246)
1015,arc1046,"Spring Street between Little Bourke Street and Lonsdale Street, approximately 13m NE of COVID closed as at 12-JUN-21, 185-197 Spring StreetMELBOURNE VIC 3000",2021/10/06 07:00:01 PM,C,2021/09/17,,144.9725,-37.810278,POINT (144.9725 -37.810278)
1010,arc1112,"Melbourne Convention Centre Carpark, approximately 31m NE of Bababoi, Unit 16, Ground 60 Siddeley StreetDOCKLANDS VIC 3008",2021/10/06 07:00:01 PM,C,2021/06/29,,144.95222195,-37.82250002,POINT (144.95222195 -37.82250002)
1009,arc1050,"Flinders Lane between Swanston Street and Elizabeth Street, approximately 7m South of Centro Espresso Cafe, Shop 2, 252 Flinders LaneMELBOURNE VIC 3000",2021/10/06 07:00:01 PM,C,2021/06/14,,144.96570467,-37.81686763,POINT (144.96570467 -37.81686763)
1011,arc1055,"Melbourne Convention Centre Carpark, approximately 38m East of Care Park, Melbourne Convention Centre Carpark671-701 Flinders StreetDOCKLANDS VIC 3008",,C,2021/07/07,,144.952222,-37.822222,POINT (144.952222 -37.822222)
1003,arc1047,"Pelham Street between Bouverie Street and Leicester Street, approximately 15m West of COVID closed as at 12-JUN-21, 165 Pelham StreetCARLTON VIC 3053",,R,2019/11/15,2021/06/13,144.960923,-37.8023,POINT (144.960923 -37.8023)
1001,arc1045,"Grattan Street between Lygon Street and Cardigan Street, approximately 4m North of Eyetech Optometrists, 85 Grattan StreetCARLTON VIC 3053",,R,2019/11/15,2021/06/13,144.966492,-37.800793,POINT (144.966492 -37.800793)
1006,arc1112,"Melbourne Convention Centre Carpark, approximately 30m North of Bababoi, Unit 16, Ground 60 Siddeley StreetDOCKLANDS VIC 3008",,R,2021/05/20,2021/06/28,144.952065,-37.822486,POINT (144.952065 -37.822486)
1005,arc1050,"Grattan Street between Cardigan Street and Swanston Street, approximately 16m NW of Domino's Pizza, Shop 2, Ground 121 Grattan StreetCARLTON VIC 3053",,R,2019/11/15,2021/06/13,144.965052,-37.800629,POINT (144.965052 -37.800629)
1014,arc1045,"Flinders Street between Swanston Street and Elizabeth Street, approximately 15m South of Young & Jackson, Young And Jacksons Hotel1-7 Swanston StreetMELBOURNE VIC 3000",2021/10/06 07:00:01 PM,C,2021/09/17,,144.967222,-37.8175,POINT (144.967222 -37.8175)
1002,arc1046,"Intersection of Swanston Street and Grattan Street, approximately 12m North of Colourful Yunnan Restaurant, 680-682 Swanston StreetCARLTON VIC 3053",,R,2019/11/15,2021/06/13,144.964122,-37.800524,POINT (144.964122 -37.800524)
